pid,visit,model,r2,mse
21,0,CausalForestDML_n_estimators40_min_samples_leaf1,-0.040894546994038716,0.026355282014191198
27,0,CausalForestDML_n_estimators40_min_samples_leaf1,-0.4649013236563033,0.02236661842928839
28,0,CausalForestDML_n_estimators40_min_samples_leaf1,-1.0739303122039296,0.054627186935559284
32,0,CausalForestDML_n_estimators40_min_samples_leaf1,-1.540062429225379,0.03041498263751814
33,0,CausalForestDML_n_estimators40_min_samples_leaf1,-0.0763959547771047,0.07313631510692879
21,0,CausalForestDML_n_estimators40_min_samples_leaf5,0.23132352853327165,0.019462764255690775
27,0,CausalForestDML_n_estimators40_min_samples_leaf5,-0.6140294785251925,0.024643558509246193
28,0,CausalForestDML_n_estimators40_min_samples_leaf5,-0.6923830599955687,0.04457725760645576
32,0,CausalForestDML_n_estimators40_min_samples_leaf5,-1.9083361753465584,0.034824732360695346
33,0,CausalForestDML_n_estimators40_min_samples_leaf5,-0.10076103886228216,0.07479181414457554
21,0,CausalForestDML_n_estimators40_min_samples_leaf10,0.14340860082216123,0.02168875604301908
27,0,CausalForestDML_n_estimators40_min_samples_leaf10,-0.41912551116344,0.021667697543093094
28,0,CausalForestDML_n_estimators40_min_samples_leaf10,-0.6412653457737711,0.0432308204026207
32,0,CausalForestDML_n_estimators40_min_samples_leaf10,-1.0126389349296074,0.02409955659245156
33,0,CausalForestDML_n_estimators40_min_samples_leaf10,-0.0669272425536298,0.07249295824762482
21,0,CausalForestDML_n_estimators100_min_samples_leaf1,0.2311899821636133,0.019466145628227006
27,0,CausalForestDML_n_estimators100_min_samples_leaf1,-0.7851049848896783,0.02725559831811287
28,0,CausalForestDML_n_estimators100_min_samples_leaf1,-0.8139936649756945,0.047780472879651766
32,0,CausalForestDML_n_estimators100_min_samples_leaf1,-1.2775292561246956,0.027271381988275462
33,0,CausalForestDML_n_estimators100_min_samples_leaf1,0.0014893588655147116,0.06784435463876803
21,0,CausalForestDML_n_estimators100_min_samples_leaf5,0.19995849111202013,0.020256921943431528
27,0,CausalForestDML_n_estimators100_min_samples_leaf5,-0.5674546806679004,0.023932438439059334
28,0,CausalForestDML_n_estimators100_min_samples_leaf5,-0.7768872755252363,0.046803093041435415
32,0,CausalForestDML_n_estimators100_min_samples_leaf5,-1.1040312727923975,0.02519389834457403
33,0,CausalForestDML_n_estimators100_min_samples_leaf5,-0.035562423100597984,0.07036185834093307
21,0,CausalForestDML_n_estimators100_min_samples_leaf10,0.2469604395444679,0.019066840191412582
27,0,CausalForestDML_n_estimators100_min_samples_leaf10,-0.45804627329834147,0.022261953157167946
28,0,CausalForestDML_n_estimators100_min_samples_leaf10,-0.6353023328086167,0.043073755036426936
32,0,CausalForestDML_n_estimators100_min_samples_leaf10,-0.9444275940147702,0.023282786608479437
33,0,CausalForestDML_n_estimators100_min_samples_leaf10,-0.15453839621730303,0.07844574626470245
21,0,CausalForestDML_n_estimators200_min_samples_leaf1,0.31075300152768415,0.017451622812927205
27,0,CausalForestDML_n_estimators200_min_samples_leaf1,-0.592566020567461,0.024315847033694073
28,0,CausalForestDML_n_estimators200_min_samples_leaf1,-0.8732751987615575,0.04934194454959695
32,0,CausalForestDML_n_estimators200_min_samples_leaf1,-1.3537510422558938,0.028184069910866406
33,0,CausalForestDML_n_estimators200_min_samples_leaf1,-0.048976983349589664,0.07127331801433393
21,0,CausalForestDML_n_estimators200_min_samples_leaf5,0.3134956392546334,0.01738217966811945
27,0,CausalForestDML_n_estimators200_min_samples_leaf5,-0.6669249364241587,0.025451184595975188
28,0,CausalForestDML_n_estimators200_min_samples_leaf5,-0.7080610897028201,0.04499021586959486
32,0,CausalForestDML_n_estimators200_min_samples_leaf5,-1.2780476555904667,0.027277589359625598
33,0,CausalForestDML_n_estimators200_min_samples_leaf5,-0.05721918719835717,0.07183333908760509
21,0,CausalForestDML_n_estimators200_min_samples_leaf10,0.25375815354298137,0.018894723169568233
27,0,CausalForestDML_n_estimators200_min_samples_leaf10,-0.5214563666240486,0.0232301203224769
28,0,CausalForestDML_n_estimators200_min_samples_leaf10,-0.6263521078872343,0.04283800670533856
32,0,CausalForestDML_n_estimators200_min_samples_leaf10,-0.9687702961319495,0.02357426876014847
33,0,CausalForestDML_n_estimators200_min_samples_leaf10,-0.07754133880947012,0.07321413885490717
21,0,CausalForestDML_n_estimators600_min_samples_leaf1,0.3336079234246183,0.016872939877421864
27,0,CausalForestDML_n_estimators600_min_samples_leaf1,-0.7411976579790045,0.026585206113940434
28,0,CausalForestDML_n_estimators600_min_samples_leaf1,-0.8084072478927771,0.0476333270240303
32,0,CausalForestDML_n_estimators600_min_samples_leaf1,-1.2769019024391195,0.02726386998729673
33,0,CausalForestDML_n_estimators600_min_samples_leaf1,-0.00457272014410659,0.06825624593089256
21,0,CausalForestDML_n_estimators600_min_samples_leaf5,0.3326924031934242,0.016896120701985214
27,0,CausalForestDML_n_estimators600_min_samples_leaf5,-0.5882044217601989,0.02424925263945858
28,0,CausalForestDML_n_estimators600_min_samples_leaf5,-0.8764986871674227,0.049426851020511434
32,0,CausalForestDML_n_estimators600_min_samples_leaf5,-1.3890565904271197,0.028606822368554375
33,0,CausalForestDML_n_estimators600_min_samples_leaf5,-0.05804737169946339,0.07188961053898946
21,0,CausalForestDML_n_estimators600_min_samples_leaf10,0.25758567624902373,0.018797810912102017
27,0,CausalForestDML_n_estimators600_min_samples_leaf10,-0.4938298673454884,0.022808309407351027
28,0,CausalForestDML_n_estimators600_min_samples_leaf10,-0.6351653296415725,0.04307014638208939
32,0,CausalForestDML_n_estimators600_min_samples_leaf10,-0.8906809652620378,0.02263921865458548
33,0,CausalForestDML_n_estimators600_min_samples_leaf10,-0.07836302397257122,0.0732699687051965
21,0,CausalForestDML_n_estimators1000_min_samples_leaf1,0.3733810246707957,0.01586589137001145
27,0,CausalForestDML_n_estimators1000_min_samples_leaf1,-0.6020594474465704,0.024460795948110656
28,0,CausalForestDML_n_estimators1000_min_samples_leaf1,-0.816392794036241,0.047843665780060135
32,0,CausalForestDML_n_estimators1000_min_samples_leaf1,-1.3342854422477086,0.027950986708081355
33,0,CausalForestDML_n_estimators1000_min_samples_leaf1,-0.039804473382454963,0.07065008678023223
21,0,CausalForestDML_n_estimators1000_min_samples_leaf5,0.34457605982177253,0.01659522843321082
27,0,CausalForestDML_n_estimators1000_min_samples_leaf5,-0.6379066801343993,0.025008123854998874
28,0,CausalForestDML_n_estimators1000_min_samples_leaf5,-0.8363858438267635,0.04837028138613524
32,0,CausalForestDML_n_estimators1000_min_samples_leaf5,-1.090085248241961,0.02502690713613618
33,0,CausalForestDML_n_estimators1000_min_samples_leaf5,-0.10319313680649156,0.07495706437691728
21,0,CausalForestDML_n_estimators1000_min_samples_leaf10,0.28816594143529706,0.018023523530752518
27,0,CausalForestDML_n_estimators1000_min_samples_leaf10,-0.526510471225013,0.02330728813390964
28,0,CausalForestDML_n_estimators1000_min_samples_leaf10,-0.6489156939446437,0.04343233006627389
32,0,CausalForestDML_n_estimators1000_min_samples_leaf10,-0.8970298827408238,0.02271524128011725
33,0,CausalForestDML_n_estimators1000_min_samples_leaf10,-0.10380030698336395,0.07499831888849566
21,0,RandomForestRegressor_n_estimators50_max_depthNone,-0.9630968816841452,0.049705296360113685
27,0,RandomForestRegressor_n_estimators50_max_depthNone,-2.0177495814030615,0.04607604096767355
28,0,RandomForestRegressor_n_estimators50_max_depthNone,-2.7283490520902705,0.09820446686712185
32,0,RandomForestRegressor_n_estimators50_max_depthNone,-2.6364251427705954,0.04354294851474629
33,0,RandomForestRegressor_n_estimators50_max_depthNone,-0.8438716667731969,0.1252828744286646
21,0,RandomForestRegressor_n_estimators50_max_depth10,-0.3617411332187821,0.03447906581886517
27,0,RandomForestRegressor_n_estimators50_max_depth10,-2.262737307246423,0.04981659802452771
28,0,RandomForestRegressor_n_estimators50_max_depth10,-2.2805167237703916,0.08640859302750402
32,0,RandomForestRegressor_n_estimators50_max_depth10,-1.6372602956988005,0.03157884041801154
33,0,RandomForestRegressor_n_estimators50_max_depth10,-0.6977403123242372,0.11535389918628314
21,0,RandomForestRegressor_n_estimators50_max_depth20,-0.5944185933371096,0.040370421573848646
27,0,RandomForestRegressor_n_estimators50_max_depth20,-1.912338047256957,0.044466581324066196
28,0,RandomForestRegressor_n_estimators50_max_depth20,-2.6735817940585282,0.09676190092127351
32,0,RandomForestRegressor_n_estimators50_max_depth20,-2.6181330854519653,0.04332391743923045
33,0,RandomForestRegressor_n_estimators50_max_depth20,-0.8632928820973811,0.12660245958448504
21,0,RandomForestRegressor_n_estimators50_max_depth50,-0.748263850369592,0.0442657586638027
27,0,RandomForestRegressor_n_estimators50_max_depth50,-3.0424570755711002,0.0617216282530231
28,0,RandomForestRegressor_n_estimators50_max_depth50,-3.002301536428834,0.10542035714335793
32,0,RandomForestRegressor_n_estimators50_max_depth50,-1.8708536226514196,0.03437591221505028
33,0,RandomForestRegressor_n_estimators50_max_depth50,-1.0058090057522708,0.13628579598238186
21,0,RandomForestRegressor_n_estimators50_max_depth100,-0.8836525752716531,0.04769377933759725
27,0,RandomForestRegressor_n_estimators50_max_depth100,-2.37855081979765,0.05158487866047083
28,0,RandomForestRegressor_n_estimators50_max_depth100,-2.8823118769597604,0.10225983746746505
32,0,RandomForestRegressor_n_estimators50_max_depth100,-2.4767229837677496,0.041630657565768704
33,0,RandomForestRegressor_n_estimators50_max_depth100,-0.7080824096120044,0.11605659867409501
21,0,RandomForestRegressor_n_estimators100_max_depthNone,-0.566831034040344,0.039671909022842226
27,0,RandomForestRegressor_n_estimators100_max_depthNone,-2.329958931763421,0.05084296096207759
28,0,RandomForestRegressor_n_estimators100_max_depthNone,-2.375538934457647,0.08891147175766088
32,0,RandomForestRegressor_n_estimators100_max_depthNone,-2.2215442571021455,0.03857511985468763
33,0,RandomForestRegressor_n_estimators100_max_depthNone,-0.7463481360337165,0.11865658449989962
21,0,RandomForestRegressor_n_estimators100_max_depth10,-0.49059654013363674,0.03774166393516965
27,0,RandomForestRegressor_n_estimators100_max_depth10,-2.0835045079091903,0.04708000985435437
28,0,RandomForestRegressor_n_estimators100_max_depth10,-2.445678777731269,0.09075895057967938
32,0,RandomForestRegressor_n_estimators100_max_depth10,-1.74412793425264,0.03285848509671293
33,0,RandomForestRegressor_n_estimators100_max_depth10,-0.6184039208728793,0.10996334443839327
21,0,RandomForestRegressor_n_estimators100_max_depth20,-0.6373994173872095,0.041458689105188885
27,0,RandomForestRegressor_n_estimators100_max_depth20,-2.92759404235557,0.059967859863251885
