model,mse,base_model
CausalForestDML_n_estimators600_min_samples_leaf10,0.03611709081226484,CausalForestDML
CausalForestDML_n_estimators200_min_samples_leaf10,0.03635025156248782,CausalForestDML
CausalForestDML_n_estimators1000_min_samples_leaf10,0.036495340379909744,CausalForestDML
CausalForestDML_n_estimators40_min_samples_leaf10,0.0366359577657618,CausalForestDML
CausalForestDML_n_estimators100_min_samples_leaf10,0.037226216251637814,CausalForestDML
CausalForestDML_n_estimators100_min_samples_leaf5,0.03730964202188664,CausalForestDML
CausalForestDML_n_estimators600_min_samples_leaf1,0.03732231778671634,CausalForestDML
CausalForestDML_n_estimators1000_min_samples_leaf1,0.03735428531729912,CausalForestDML
CausalForestDML_n_estimators200_min_samples_leaf5,0.03738690171618396,CausalForestDML
CausalForestDML_n_estimators100_min_samples_leaf1,0.03792359069060698,CausalForestDML
CausalForestDML_n_estimators1000_min_samples_leaf5,0.03799152103747962,CausalForestDML
CausalForestDML_n_estimators200_min_samples_leaf1,0.03811336046428368,CausalForestDML
CausalForestDML_n_estimators600_min_samples_leaf5,0.03821373145389976,CausalForestDML
CausalForestDML_n_estimators40_min_samples_leaf5,0.039660025375332655,CausalForestDML
CausalForestDML_n_estimators40_min_samples_leaf1,0.04138007702469708,CausalForestDML
DecisionTreeRegressor_max_depth10_min_samples_split10_min_samples_leaf2,0.08856739041993138,DecisionTreeRegressor
DecisionTreeRegressor_max_depthNone_min_samples_split10_min_samples_leaf2,0.10727492877149689,DecisionTreeRegressor
DecisionTreeRegressor_max_depth10_min_samples_split5_min_samples_leaf2,0.10774953119742862,DecisionTreeRegressor
DecisionTreeRegressor_max_depth20_min_samples_split5_min_samples_leaf2,0.10840047749721642,DecisionTreeRegressor
DecisionTreeRegressor_max_depth30_min_samples_split10_min_samples_leaf2,0.10914322619932122,DecisionTreeRegressor
DecisionTreeRegressor_max_depth10_min_samples_split2_min_samples_leaf2,0.10969197047306393,DecisionTreeRegressor
DecisionTreeRegressor_max_depth10_min_samples_split10_min_samples_leaf4,0.11105741627630092,DecisionTreeRegressor
DecisionTreeRegressor_max_depth10_min_samples_split2_min_samples_leaf4,0.1117505130215003,DecisionTreeRegressor
DecisionTreeRegressor_max_depth10_min_samples_split5_min_samples_leaf4,0.11471218600616193,DecisionTreeRegressor
DecisionTreeRegressor_max_depthNone_min_samples_split10_min_samples_leaf4,0.11524519858267297,DecisionTreeRegressor
DecisionTreeRegressor_max_depth20_min_samples_split10_min_samples_leaf4,0.11548407019422388,DecisionTreeRegressor
DecisionTreeRegressor_max_depth30_min_samples_split10_min_samples_leaf4,0.11553376372866415,DecisionTreeRegressor
DecisionTreeRegressor_max_depth20_min_samples_split5_min_samples_leaf4,0.11638021455470407,DecisionTreeRegressor
DecisionTreeRegressor_max_depth30_min_samples_split2_min_samples_leaf4,0.11674477995800492,DecisionTreeRegressor
DecisionTreeRegressor_max_depth30_min_samples_split5_min_samples_leaf4,0.11707097221037684,DecisionTreeRegressor
DecisionTreeRegressor_max_depthNone_min_samples_split2_min_samples_leaf4,0.11728553929549271,DecisionTreeRegressor
DecisionTreeRegressor_max_depth20_min_samples_split10_min_samples_leaf2,0.11980160377467856,DecisionTreeRegressor
DecisionTreeRegressor_max_depth20_min_samples_split2_min_samples_leaf4,0.12044051907600886,DecisionTreeRegressor
DecisionTreeRegressor_max_depthNone_min_samples_split5_min_samples_leaf4,0.12067335231056622,DecisionTreeRegressor
DecisionTreeRegressor_max_depthNone_min_samples_split2_min_samples_leaf2,0.12162603711928796,DecisionTreeRegressor
DecisionTreeRegressor_max_depth30_min_samples_split2_min_samples_leaf2,0.12831198852597833,DecisionTreeRegressor
DecisionTreeRegressor_max_depthNone_min_samples_split5_min_samples_leaf2,0.12952390394249966,DecisionTreeRegressor
DecisionTreeRegressor_max_depth30_min_samples_split5_min_samples_leaf2,0.13148375113762772,DecisionTreeRegressor
DecisionTreeRegressor_max_depth30_min_samples_split10_min_samples_leaf1,0.140037445600026,DecisionTreeRegressor
DecisionTreeRegressor_max_depth20_min_samples_split10_min_samples_leaf1,0.1479864919169646,DecisionTreeRegressor
DecisionTreeRegressor_max_depth20_min_samples_split2_min_samples_leaf2,0.14886785860319948,DecisionTreeRegressor
DecisionTreeRegressor_max_depth10_min_samples_split10_min_samples_leaf1,0.14903802707146774,DecisionTreeRegressor
DecisionTreeRegressor_max_depthNone_min_samples_split10_min_samples_leaf1,0.1579910411180144,DecisionTreeRegressor
DecisionTreeRegressor_max_depth30_min_samples_split2_min_samples_leaf1,0.1768093986371741,DecisionTreeRegressor
DecisionTreeRegressor_max_depth20_min_samples_split5_min_samples_leaf1,0.17959293211040978,DecisionTreeRegressor
DecisionTreeRegressor_max_depthNone_min_samples_split5_min_samples_leaf1,0.19189643794130884,DecisionTreeRegressor
DecisionTreeRegressor_max_depthNone_min_samples_split2_min_samples_leaf1,0.19332969221329663,DecisionTreeRegressor
DecisionTreeRegressor_max_depth10_min_samples_split2_min_samples_leaf1,0.19381555851707627,DecisionTreeRegressor
DecisionTreeRegressor_max_depth10_min_samples_split5_min_samples_leaf1,0.20226498057648476,DecisionTreeRegressor
DecisionTreeRegressor_max_depth30_min_samples_split5_min_samples_leaf1,0.21285066521847473,DecisionTreeRegressor
DecisionTreeRegressor_max_depth20_min_samples_split2_min_samples_leaf1,0.24104719484354825,DecisionTreeRegressor
GradientBoostingRegressor_n_estimators50_learning_rate0.01_max_depth3,0.031080950432336198,GradientBoostingRegressor
GradientBoostingRegressor_n_estimators50_learning_rate0.01_max_depth5,0.0329835667180131,GradientBoostingRegressor
GradientBoostingRegressor_n_estimators50_learning_rate0.01_max_depth7,0.03380787046724336,GradientBoostingRegressor
GradientBoostingRegressor_n_estimators100_learning_rate0.01_max_depth3,0.035895835483005664,GradientBoostingRegressor
GradientBoostingRegressor_n_estimators100_learning_rate0.01_max_depth5,0.0416890797247015,GradientBoostingRegressor
GradientBoostingRegressor_n_estimators200_learning_rate0.01_max_depth3,0.04494332771052704,GradientBoostingRegressor
GradientBoostingRegressor_n_estimators100_learning_rate0.01_max_depth7,0.04622938224898462,GradientBoostingRegressor
GradientBoostingRegressor_n_estimators50_learning_rate0.1_max_depth3,0.056945719490562464,GradientBoostingRegressor
GradientBoostingRegressor_n_estimators200_learning_rate0.01_max_depth5,0.05840845954969354,GradientBoostingRegressor
GradientBoostingRegressor_n_estimators200_learning_rate0.01_max_depth7,0.06535108699405404,GradientBoostingRegressor
GradientBoostingRegressor_n_estimators100_learning_rate0.1_max_depth3,0.07008057850378335,GradientBoostingRegressor
GradientBoostingRegressor_n_estimators50_learning_rate0.1_max_depth5,0.07295028725415524,GradientBoostingRegressor
GradientBoostingRegressor_n_estimators50_learning_rate0.2_max_depth3,0.08013126430609978,GradientBoostingRegressor
GradientBoostingRegressor_n_estimators50_learning_rate0.1_max_depth7,0.08161945635086801,GradientBoostingRegressor
GradientBoostingRegressor_n_estimators100_learning_rate0.1_max_depth5,0.08919985022151272,GradientBoostingRegressor
GradientBoostingRegressor_n_estimators100_learning_rate0.1_max_depth7,0.09046848858097269,GradientBoostingRegressor
GradientBoostingRegressor_n_estimators200_learning_rate0.1_max_depth3,0.09192464162963257,GradientBoostingRegressor
GradientBoostingRegressor_n_estimators50_learning_rate0.2_max_depth5,0.094774287976813,GradientBoostingRegressor
GradientBoostingRegressor_n_estimators200_learning_rate0.1_max_depth7,0.09721351101254135,GradientBoostingRegressor
GradientBoostingRegressor_n_estimators50_learning_rate0.2_max_depth7,0.10051152058719401,GradientBoostingRegressor
GradientBoostingRegressor_n_estimators100_learning_rate0.2_max_depth3,0.10090263744696841,GradientBoostingRegressor
GradientBoostingRegressor_n_estimators100_learning_rate0.2_max_depth7,0.10453577051966571,GradientBoostingRegressor
